CustID,ASP,Recency,Frequency,Monetary
MU10859,380,2,4,5
MU10954,380,2,4,4
MU10970,380,2,4,5
MU10978,380,2,4,5
MU10979,380,2,4,5
MU10981,380,2,4,5
MU11026,380,2,4,5
MU11043,380,2,4,5
MU11112,380,1,4,5
MU11209,380,1,4,5
MU283,380,4,4,5
MU2314,379.96848633,1,1,1
MU10034,379.90016639,2,2,2
MU2282,379.71855761,2,1,1
MU2015,379.24073247,3,1,1
MU2930,379.04761905,5,4,5
MU10610,378.87850467,2,3,3
MU2867,378.57419981,2,1,1
MU10060,378,2,3,3
MU11042,377.94871795,1,3,4
MU10144,377.2,3,4,4
MU1086,377.15270936,2,1,1
MU2351,377.00547778,1,1,1
MU3122,376.97014925,3,1,1
MU11208,376.89655172,1,4,4
MU1166,376.88725015,2,1,1
MU10621,376.84210526,3,3,4
MU10511,375.61181435,1,3,2
MU10243,375.53398058,2,3,3
MU10869,375.23809524,2,4,5
MU3379,375.22917091,3,1,1
MU11005,375.17241379,2,4,4
MU11057,375.12195122,1,3,3
MU10294,375,3,4,5
MU11168,375,1,4,4
MU2110,374.89374621,1,1,1
MU3016,374.24236294,1,1,1
MU2921,374.11140584,3,1,2
MU3039,374.04651163,4,2,1
MU1279,373.64130435,4,3,4
MU2123,373.44743276,4,1,2
MU1220,373.32150655,4,2,1
MU3117,372.77266754,1,1,1
MU11191,372.58064516,1,4,4
MU2061,372.19178082,4,2,3
MU2894,372.03319502,1,1,1
MU2838,371.50092937,4,1,1
MU2165,371.42857143,1,2,2
MU2288,370.79754601,4,2,3
MU1110,370.48648649,4,2,3
MU10089,370.17857143,3,3,3
MU2450,369.49986556,1,1,1
MU1846,369.18032787,4,3,4
MU1302,369,3,3,4
MU2093,368.88888889,4,2,3
MU2113,368.81198347,4,1,1
MU297,368.45478036,1,1,1
MU3317,368.04722979,1,1,1
MU3003,367.85046729,4,1,1
MU2169,367.42402315,1,1,1
MU3079,367.33913043,3,2,2
MU1135,367,5,3,4
MU3354,366.89393939,4,1,2
MU3058,366.47946354,1,1,1
MU2669,366.11505122,1,1,1
